timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1014546964262,14,-8,-4,-7,-3,-3,6,6
1014546964262,-17,-10,-4,-8,-6,-1,5,4
1014546965257,-4,0,-4,-4,-5,-1,5,3
1014546965257,24,2,-1,-3,-5,0,2,6
1014546972320,-79,-2,-2,-2,-3,-1,-2,-5
1014546972320,13,2,0,-1,-4,0,1,2
1014546975115,6,0,0,-4,-4,-1,1,1
1014546975115,1,2,1,0,0,1,0,1
1014546977212,17,2,3,3,1,0,-3,1
1014546977212,-4,3,4,3,5,2,-5,-4
1014546993615,-9,3,4,4,8,2,-9,-8
1014546993615,18,6,5,8,9,2,-12,-14
1014547000761,12,5,7,5,12,1,-14,-12
1014547000761,8,0,2,4,13,-2,-10,-8
1014547018708,31,1,-2,0,7,-4,-2,-2
1014547018708,-62,-10,-8,-8,3,-7,1,-6
1014547022258,8,-2,-6,-6,0,-3,6,6
1014547022258,12,-3,-5,-8,-4,-6,6,2
1014547037805,-16,-1,-4,-6,-4,-4,4,6
1014547037805,16,-2,-4,-6,-6,-6,6,12
1014547038562,-2,-10,-3,-6,-7,-2,7,6
1014547038562,-5,1,-5,-6,-9,0,5,9
1014547060902,4,-4,-3,-5,-7,-1,4,7
1014547060902,-14,2,-1,-3,-7,0,5,4
1014547100374,9,1,1,-2,-4,0,2,6
1014547100374,-2,2,0,-1,-6,1,1,5
1014547101186,8,0,-2,0,-5,-1,4,6
1014547101186,19,-1,-1,-2,-7,-1,0,0
1014547102027,-19,-8,-4,-3,-5,0,-1,-4
1014547102027,-37,-4,-2,0,-6,0,1,-1
1014547104479,-2,1,0,1,-3,0,0,1
1014547104479,4,0,-1,0,-5,0,3,2
1014547112818,14,2,1,1,-3,-1,1,2
1014547112818,7,-2,0,-1,-2,1,1,-1
1014547119613,-9,-2,-1,-1,-2,1,2,0
1014547119613,4,-3,0,-1,-3,0,0,-1
1014547127752,-9,-2,-1,0,-2,1,-1,-2
1014547127752,1,1,0,1,-2,0,1,-1
1014547141990,0,-2,1,0,-3,-1,0,1
