timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1013462993585,-31,-10,-6,-4,-4,-2,-2,-7
1013462993585,9,4,1,1,0,-1,-2,-1
1013462997540,6,2,-1,0,0,-1,0,4
1013462997540,9,3,4,0,-1,-1,-1,2
1013462998246,18,2,-3,-1,-1,1,0,-6
1013462998246,-35,-7,-2,1,-1,0,-1,-2
1013462999888,5,-4,-5,-8,-4,-1,-1,-1
1013462999888,-2,2,-2,2,1,-1,-2,0
1013463004799,9,5,10,5,1,2,-1,3
1013463004799,4,2,0,-1,-1,0,1,0
1013463013190,-2,-4,-5,-2,-2,-2,-1,-8
1013463013190,-4,-5,-7,-6,-2,-2,0,-1
1013463029764,2,-6,-6,-3,-1,-1,0,1
1013463029764,7,-4,-5,-3,-1,0,0,0
1013463033302,-4,12,15,4,2,0,-1,2
1013463033302,4,-3,-3,-1,-1,-1,0,-1
1013463049883,-9,3,2,0,0,-1,1,-2
1013463049883,9,0,-3,-1,-1,-1,-1,5
1013463064866,-6,-10,-10,-4,-2,1,2,1
1013463064866,0,2,1,3,3,0,0,-8
1013463066400,-2,0,3,3,0,0,-2,1
1013463066400,-12,0,6,0,-2,-2,1,0
1013463111670,5,1,-1,-3,-2,0,0,4
1013463111670,4,-4,-14,-3,-2,-2,-2,-3
1013463112572,9,1,14,-3,-1,-1,-1,0
1013463112572,-16,-4,-4,0,0,-1,-1,1
1013463113218,16,2,-3,2,-2,0,1,4
1013463113218,-2,-3,5,1,0,-1,0,2
1013463115619,-14,4,0,0,1,0,1,-3
1013463115619,10,-4,-7,-2,-2,0,-1,-1
1013463123763,-9,0,5,-1,0,-1,-1,-2
1013463123763,15,3,0,1,-1,0,0,0
1013463130811,-20,-5,-5,0,-1,-1,-1,-1
1013463130811,4,3,1,-3,-1,-1,0,1
1013463138319,-7,-7,-5,0,0,-1,-1,-13
1013463138319,22,7,2,-2,-1,1,0,4
1013463153217,-10,-4,-1,3,-1,-1,-1,-1
1013463153217,-2,4,2,-1,1,0,-1,-8
1013463161440,8,0,1,-2,0,-1,0,2
1013463161440,-5,-1,0,-1,0,-1,1,0
1013463185074,-3,-5,-5,-2,0,0,-1,2
